Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
El Salvador,92,94,98,111,128,142,177,218,229,252,256,245,250,279,316,383,521,603,704,818,914,998,"1,104","1,270","1,463","1,700","1,828","1,956","2,093","2,158","2,260","2,363","2,435","2,550","2,666","2,874","3,109","3,358","3,569","3,431","3,547","3,821","3,922","3,999","4,102","4,219"
Equatorial Guinea,72,76,76,101,113,146,159,182,211,239,252,225,247,257,239,281,339,397,422,378,450,439,501,477,381,480,733,"1,362","1,104","1,786","2,846","4,021","4,786","6,302","9,272","13,613","15,621","19,633","28,781","21,251","22,366","28,404","28,937","27,529","26,196","16,344"
Eritrea,,,,,,,,,,,,,,,,,,,,,106,121,138,160,200,202,234,240,243,231,200,206,193,222,273,262,281,299,307,404,451,544,632,701,793,915
Estonia,,,,,,,,,,,,,,,,,,,,,"3,589","3,450","2,831","2,793","2,855","3,086","3,346","3,594","3,991","4,084","4,067","4,487","5,295","7,163","8,844","10,330","12,578","16,539","18,035","14,716","14,641","17,447","17,404","19,000","19,916","17,112"
Ethiopia,,,,,,,,,,,,,,,,,,,,,233,257,198,138,129,133,139,140,123,114,121,116,109,117,133,159,190,235,308,331,300,339,458,494,560,603
Ethiopia (Former),85,87,92,104,114,111,118,132,139,150,157,160,160,170,195,221,223,231,218,217,225,249,195,139,,,,,,,,,,,,,,,,,,,,,,
Fiji,424,465,584,769,990,"1,188","1,185","1,204","1,363","1,643","1,897","1,901","1,789","1,641","1,684","1,606","1,799","1,634","1,538","1,734","1,838","1,885","2,062","2,172","2,388","2,571","2,695","2,678","2,100","2,442","2,105","2,066","2,289","2,871","3,375","3,627","3,718","4,047","4,179","3,370","3,652","4,352","4,544","4,759","5,042","4,922"
Finland,"2,467","2,712","3,177","4,174","5,300","6,260","6,743","7,074","7,639","9,342","11,233","10,933","10,947","10,511","10,847","11,406","14,952","18,562","22,033","23,966","28,380","25,524","22,369","17,634","20,312","26,271","25,771","24,671","25,991","26,182","24,252","24,911","26,835","32,810","37,633","38,966","41,116","48,280","53,396","47,090","46,165","50,720","47,322","49,510","49,723","42,148"
Former Netherlands Antilles,"1,394","1,494","1,678","1,864","2,324","2,739","3,053","3,445","4,195","4,961","5,476","6,261","6,628","6,518","6,506","6,558","8,429","8,739","8,996","10,035","10,520","10,975","11,454","12,175","13,088","13,560","14,318","14,951","15,329","15,443","16,020","16,434","16,777","17,344","17,785","17,312","17,889","18,422","19,373","18,997",,,,,,
France,"2,862","3,174","3,857","4,966","5,317","6,673","6,846","7,513","9,248","11,171","12,713","11,111","10,506","10,006","9,433","9,775","13,557","16,324","17,696","17,704","21,795","21,683","23,826","22,392","23,488","26,859","26,823","24,174","24,901","24,617","22,340","22,434","24,197","29,602","33,797","34,833","36,523","41,588","45,401","41,604","40,667","43,762","40,795","42,531","42,801","36,304"
French Polynesia,"2,379","2,687","2,855","3,646","4,542","5,468","6,004","6,268","7,695","9,281","10,271","9,328","9,104","9,185","9,215","9,795","14,553","15,656","15,478","15,253","17,987","18,236","19,446","18,219","18,547","20,542","19,429","18,208","18,582","18,031","15,835","15,306","16,044","19,806","22,053","22,374","22,786","25,435","27,039","24,709","22,684","22,874","20,795","21,532","21,586","18,161"
Gabon,695,803,889,"1,465","3,071","4,206","5,741","5,241","4,356","5,393","7,435","6,543","5,975","5,458","5,580","5,589","5,149","4,904","4,781","5,004","6,342","6,147","6,196","5,834","4,406","5,080","5,684","5,203","4,275","4,293","4,609","4,111","4,191","4,975","5,821","6,952","7,324","8,633","10,523","7,755","8,354","10,765","9,897","10,317","10,317","7,961"
Gambia,215,220,277,458,580,675,603,619,715,761,834,854,827,787,740,894,580,618,740,736,772,727,729,749,720,738,774,713,725,683,637,543,442,361,415,433,440,520,609,550,563,517,505,484,440,473
Georgia,,,,,,,,,,,,,,,,,,,,,"1,548","1,268",730,538,501,534,614,713,744,583,645,687,733,872,"1,133","1,433","1,749","2,319","2,946","2,505","2,738","3,440","3,829","3,953","4,092","3,491"
Germany,"2,744","3,169","3,795","5,041","5,636","6,213","6,587","7,618","9,406","11,212","12,113","10,225","9,942","9,887","9,313","9,408","13,420","16,609","17,862","17,751","22,353","23,424","26,515","25,639","27,164","31,753","30,582","27,059","27,353","26,839","23,810","23,844","25,450","30,718","34,628","35,218","37,040","42,543","46,519","42,447","42,483","46,723","44,037","46,577","48,102","41,686"
Ghana,413,439,373,339,384,359,358,383,437,453,484,497,475,455,495,519,541,565,601,591,682,746,713,601,534,618,647,629,667,673,424,441,499,602,683,804,930,"1,099","1,234","1,096","1,323","1,587","1,642","1,827","1,397","1,356"
Greece,"1,496","1,654","1,906","2,511","2,830","3,160","3,412","3,908","4,714","5,727","5,909","5,394","5,588","5,031","4,867","4,826","5,669","6,578","7,613","7,864","9,662","10,290","11,260","10,429","11,060","12,864","13,599","13,257","13,300","13,670","12,025","12,395","13,971","18,307","21,772","22,383","24,626","28,611","31,758","29,517","26,782","25,804","22,113","21,697","21,460","17,788"
Greenland,"1,483","1,845","2,170","2,827","3,393","4,188","4,755","5,567","7,019","8,280","9,328","8,469","7,734","7,894","7,100","7,632","11,020","14,238","16,099","16,532","18,018","17,915","18,270","16,324","17,718","21,298","21,088","18,865","20,207","19,849","18,693","18,957","20,336","24,727","28,470","28,969","31,799","35,854","40,534","40,851","40,450","44,361","41,815","42,994","43,430","36,977"
